KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection
ceo,Linked Data Cultural Heritage Agency of the Netherlands,https://api.linkeddata.cultureelerfgoed.nl/datasets/rce/cho/services/cho/sparql,[],False,1,0.0048,1,0.4444444444444444,0,1,1,1,0.5,1,1,1,[],1,0,1,0,1
Chinese_Red_Classic_Song_Linked_Data_Dataset,Chinese Red Song Linked Data Dataset,http://47.97.223.173:3030,"['https://raw.githubusercontent.com/baixue1/linked-data/master/data/figure.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/imagery.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/historyevent.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/performer.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/composer.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/song.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/Lyricist.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/original_performer.ttl']",False,1,0.0,1,0.5555555555555556,0,1,1,1,Check manually,1,1,1,"['text/html; charset=utf-8', '', '', '', '', '', '', '', '']",0,0,0,0,0
chronicling-america,Chronicling America,,[],False,1,0.0,1,0.5555555555555556,0,1,1,1,Check manually,1,1,1,"['application/rdf+xml', 'application/rdf+xml', 'application/rdf+xml', 'application/rdf+xml', 'RDF']",0,1,0,0,1
cht,Cultural Heritage Thesaurus,https://digitaalerfgoed.poolparty.biz/PoolParty/sparql/term/id/cht,"['https://data.cultureelerfgoed.nl/term/id/cht/export/term/id/cht.ttl', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.rj', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.mtxml', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_export_cultuurhistorischethesaurus.trig', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_export_cultuurhistorischethesaurus.rdf', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_scheme_cultuurhistorischethesaurus.trig', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.jsonld', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.trig', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.rdf', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.ttl']",False,1,0.0,1,0.6666666666666666,0,1,1,1,0.5,1,1,1,[''],1,0,1,['http://www.w3.org/2004/02/skos/core#'],1
cinematheque-quebecoise-linked-open-data,Cinémathèque québécoise Linked Open Data,https://data.cinematheque.qc.ca/sparql,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,"['application/rdf+xml', 'application/rdf+xml', 'text/html; charset=utf-8', 'text/turtle', 'application/n-triples', 'application/rdf+xml', 'application/rdf+xml', 'asdasd', 'application/octet-stream', 'application/octet-stream', 'application/octet-stream', 'asdasd']",0,0,0,0,1
classical_temples,Temples of the Classical World,,[],False,1,0.0,1,0.4444444444444444,0,1,1,1,Check manually,1,1,1,"['text/html; charset=UTF-8', '']",0,0,0,0,0
Copyright_Free_Music,Copyright Free Music,,[],False,1,0.0,1,0.4444444444444444,0,1,1,1,Check manually,1,1,1,['text/html; charset=utf-8'],0,0,0,0,0
culturalinkeddata,CulturaLinkedData,http://cultura.linkeddata.es/sparql,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,Check manually,1,1,1,['api/sparql'],0,0,0,0,0
data-bnf-fr,data.bnf.fr - Bibliothèque nationale de France,http://data.bnf.fr/sparql,[],False,1,0.0,1,0.6666666666666666,0,1,1,1,1.0,1,1,1,"['application/rdf+xml; charset=UTF-8', 'text/plain; charset=UTF-8', 'RDF', '', '', '', '', '']",0,1,0,0,1
data-hnm-hu,data-hnm-hu - Hungarian National Museum Datasets,http://data.hnm.hu/sparql,[],False,1,0.0,1,0.6666666666666666,0,1,1,1,Check manually,1,1,1,"['application/rdf+xml; charset=UTF-8', 'application/ld+json', 'text/html; charset=UTF-8', 'text/turtle; charset=UTF-8', 'text/html', 'text/html; charset=UTF-8', 'text/html;charset=UTF-8', 'application/zip; charset=UTF-8', 'text/html; charset=UTF-8', '']",0,0,0,0,1
